1987,96
529,16
1114,174
1833,312
1268,351
704,287
181,493
1900,247
1785,302
570,290
192,202
810,404
1588,201
631,503
707,9
1368,321
1296,158
640,13
1567,463
1117,348
903,125
928,112
1154,374
1678,153
1376,96
250,10
457,131
1234,195
1178,107
1725,453
320,340
38,254
105,357
116,460
245,488
1102,262
1526,491
1828,233
1741,223
640,207
170,106
536,406
1668,266
269,2
1457,343
1794,475
934,225
1101,463
1086,1
405,365
522,188
250,418
291,133
190,69
1517,363
1412,279
839,519
81,173
1086,167
721,330
1470,504
406,66
189,354
1378,254
1147,447
118,290
1221,450
986,218
538,86
1006,81
1462,258
441,144
940,317
234,383
1477,170
1228,107
1863,319
1649,125
803,90
1499,329
947,317
1720,355
322,396
1006,510
480,404
515,152
1159,388
244,114
1132,453
1804,211
1171,107
1354,479
681,355
531,508
953,145
1168,170
490,151
1830,4
493,452
1967,169
1485,64
917,466
1934,240
371,256
1401,441
1253,184
1129,20
402,4
326,192
327,255
1546,166
1221,189
880,35
1478,9
1640,524
1595,309
1048,426
1792,512
1232,20
1959,49
1955,259
1684,47
1688,224
1352,412
905,122
17,251
1499,430
1016,325
962,313
1667,260
689,157
1161,291
717,21
13,259
1172,497
386,320
995,431
1487,451
1596,12
1223,447
530,63
966,522
380,418
990,506
1759,384
1004,400
1350,266
1234,284
1680,251
444,389
