1156,13
121,48
1291,41
1889,11
1875,105
915,38
263,27
1437,59
1691,109
1433,73
804,74
81,43
403,108
1239,100
741,120
397,36
354,113
1869,85
181,52
259,48
1909,64
1609,11
158,41
1547,99
1542,112
1396,50
1183,116
1034,5
691,83
1361,98
995,95
1253,2
300,98
801,114
969,98
271,103
394,59
1965,23
1767,42
1578,49
1122,112
599,51
1292,5
1340,62
1462,56
216,81
830,81
813,89
589,54
774,7
1670,36
1014,86
1157,31
1222,42
1202,31
270,6
637,44
1621,112
905,86
442,80
1747,95
1620,2
2,58
1337,110
1591,57
881,110
128,81
910,61
1877,109
143,61
358,48
1643,53
1414,79
1218,23
143,10
1123,57
1195,82
447,17
513,96
1096,62
367,6
411,2
32,76
1119,40
1625,95
1886,82
1321,5
1785,20
1068,33
125,95
1427,56
1321,19
1938,74
1616,105
1864,114
1505,71
278,59
57,8
1747,112
1273,32
560,73
1925,96
1328,98
1542,34
1132,57
933,80
1116,37
1050,118
214,108
1157,3
966,96
318,24
526,62
997,35
526,88
1476,74
1242,14
423,119
852,95
1166,90
1916,55
1480,68
728,57
1727,16
1540,71
1550,64
1799,39
336,55
1693,48
1358,5
1331,32
679,67
1218,76
1579,98
1808,45
1856,45
1037,2
1816,53
118,88
92,106
569,91
1804,4
1905,114
749,1
214,67
282,36
323,93
1960,15
53,4
399,23
