29,27
85,26
15,12
36,91
87,68
40,6
77,17
36,80
7,24
71,72
75,76
48,51
4,89
33,25
74,31
62,1
22,22
32,4
29,77
42,85
89,91
7,64
74,75
67,18
48,21
50,1
5,10
20,74
91,67
95,14
27,80
84,43
89,82
87,43
9,32
66,52
63,23
56,78
93,67
58,10
39,75
105,24
78,82
14,100
44,33
37,6
55,74
86,75
100,54
39,5
39,77
28,54
83,66
64,38
92,1
33,98
78,92
93,24
74,60
100,16
103,93
102,51
32,13
96,58
29,56
83,53
92,41
15,56
46,78
107,50
49,58
27,43
22,88
34,5
78,33
88,78
48,79
72,5
68,63
17,83
3,13
59,12
62,85
53,31
87,97
94,97
80,74
73,43
86,46
65,30
24,70
53,13
47,44
17,36
50,87
46,27
36,15
109,1
68,67
109,11
67,22
86,78
12,23
65,45
62,6
84,70
54,24
19,57
41,19
92,28
20,84
33,22
8,27
106,66
108,34
74,12
14,86
94,95
23,85
98,18
26,46
50,35
27,79
12,84
72,12
65,57
61,8
45,52
15,1
32,16
13,10
41,66
54,54
68,80
8,22
34,49
90,39
38,37
4,84
102,14
80,64
51,60
16,16
99,60
83,83
22,64
6,3
52,48
110,43
58,10
