309,268,9,51
1016,255,4,24
1423,100,7,80
1308,373,2,31
458,315,4,108
558,497,10,101
342,134,1,82
866,396,7,75
1896,29,4,59
1645,369,10,90
1058,118,9,41
1044,406,4,62
707,118,3,117
1978,290,4,105
400,205,7,108
813,99,7,120
1322,75,9,91
261,312,3,60
1125,28,10,112
699,169,1,56
857,470,6,22
871,9,1,101
1843,74,5,58
829,5,6,22
377,337,5,93
877,29,8,44
629,408,7,24
1144,406,1,58
1896,294,2,47
1469,104,1,107
1523,125,1,17
341,300,3,21
187,304,9,62
1562,278,10,97
938,101,6,28
1610,510,9,60
187,244,8,48
510,509,10,87
1317,139,1,48
1599,355,8,96
875,357,4,14
1250,470,7,45
790,427,3,114
1088,107,7,56
296,22,4,71
1751,504,1,96
589,368,10,32
505,396,8,53
969,227,8,89
452,81,7,44
1136,264,5,48
1974,29,8,79
1589,212,4,113
1806,427,2,32
848,493,5,106
1361,352,7,97
718,71,1,98
854,93,5,81
1300,256,5,68
873,53,3,27
1999,61,5,22
364,266,4,74
1213,84,7,50
958,482,5,44
145,66,9,86
1118,302,5,32
1812,441,3,29
287,468,4,113
635,501,10,115
1866,420,7,15
146,382,8,108
1225,108,1,77
565,278,5,108
947,449,2,46
1092,283,2,22
1315,69,8,87
1986,236,4,22
890,111,7,103
1620,331,5,18
1424,342,9,109
1321,265,10,119
1415,404,2,13
1906,1,8,93
1135,251,3,99
295,341,10,104
613,280,4,90
1099,73,4,32
1741,152,8,96
359,471,3,87
1029,97,8,44
1301,302,10,110
172,370,3,26
1275,163,3,46
164,330,5,67
291,172,3,57
592,121,3,89
1035,219,6,96
1847,65,9,19
275,174,7,24
1696,208,9,16
1669,145,7,23
1593,293,6,75
345,336,8,88
1995,345,1,114
1653,100,1,60
55,525,2,69
216,198,9,120
111,145,3,15
230,261,3,97
312,363,3,44
159,488,3,24
825,311,2,100
452,205,3,96
1806,41,9,103
1998,470,2,26
1341,401,3,95
34,496,5,75
1562,316,6,37
502,383,5,64
462,274,8,71
591,112,3,56
1430,247,2,24
1117,349,7,119
1899,470,2,90
1351,330,10,54
1454,192,4,79
602,423,8,42
942,299,1,102
754,328,2,66
1581,19,10,115
1901,6,6,37
251,365,8,104
1258,35,8,120
475,3,10,29
1152,295,9,120
594,130,2,97
507,236,4,79
284,362,9,80
1298,345,9,11
722,515,1,102
1335,348,1,41
379,525,1,70
1436,213,3,111
288,375,3,92
1444,23,5,27
114,278,10,98
1508,405,10,93
1643,58,10,67
1388,454,5,93
930,251,5,29
1518,108,2,85
305,295,7,59
1103,475,1,54
1541,78,5,61
210,58,5,67
581,326,3,73
451,4,10,46
96,39,9,67
651,323,5,86
109,318,10,17
1435,523,4,68
1304,158,3,114
64,523,10,74
188,304,10,85
603,30,3,93
1818,427,1,111
834,127,10,90
1205,370,1,103
1733,104,10,62
304,296,9,21
1448,180,6,29
486,157,10,84
1903,407,9,76
1794,92,5,95
539,370,10,97
220,309,1,92
1345,28,3,29
198,458,8,84
1540,292,3,18
991,252,8,31
415,230,3,88
657,125,5,85
230,176,3,87
1742,30,10,36
1902,326,4,73
348,192,7,23
295,266,7,19
611,9,10,14
1843,514,4,41
963,144,6,69
1579,312,7,16
917,426,1,101
1344,403,5,14
1904,225,8,31
1112,169,2,100
1931,357,5,65
1779,301,7,51
718,407,2,23
1521,483,4,14
1829,60,5,86
448,245,4,99
1139,463,2,45
141,459,7,56
913,214,9,79
1276,131,2,100
1723,133,3,80
1745,426,1,51
1454,51,10,44
1726,279,6,92
984,404,9,95
1709,355,4,68
247,503,2,67
35,343,9,105
641,65,6,102
1199,286,5,44
872,503,2,20
1052,312,1,97
1310,131,1,21
415,84,5,49
450,38,7,30
282,126,8,34
1433,373,2,32
738,346,4,107
96,418,4,111
1838,421,3,106
1575,352,8,25
119,443,9,18
1698,146,6,109
285,378,9,97
1259,297,9,20
188,311,9,74
549,393,10,53
55,95,3,56
1643,126,9,113
666,522,7,48
527,29,7,66
407,466,5,11
1559,243,9,28
924,449,10,79
289,328,5,94
1272,491,1,116
1969,27,6,65
320,392,5,21
278,339,1,60
1369,170,8,55
332,90,2,84
743,492,6,110
1976,517,10,109
345,181,2,18
363,154,9,54
1068,187,10,28
735,171,10,22
720,502,3,78
1328,455,6,111
1169,126,2,67
923,215,6,113
191,383,4,117
843,123,6,34
1914,150,9,97
1222,36,9,34
46,150,2,65
1053,268,6,17
1693,65,8,52
1766,113,3,33
690,470,2,108
1028,148,3,84
1728,245,3,63
844,209,5,87
1101,43,3,74
1378,108,3,78
1221,271,5,40
1477,194,9,25
1388,54,9,44
1896,230,3,99
450,415,4,51
1148,1,2,81
812,218,10,34
905,287,4,22
1459,467,9,88
1463,382,1,114
738,33,7,85
1860,241,9,70
1047,353,2,52
340,31,10,32
1633,232,1,88
94,105,3,34
903,200,9,63
504,497,10,62
1516,430,8,94
207,482,6,119
1194,167,2,44
1056,192,7,11
1993,269,5,14
1751,380,6,97
55,287,9,44
916,379,7,104
249,25,4,11
1306,128,2,21
1752,65,4,99
433,492,8,36
1497,419,10,67
1589,473,4,98
280,90,4,69
622,42,9,100
14,524,2,14
1496,401,6,96
807,291,10,81
1823,151,3,12
738,525,4,39
1568,276,5,61
1890,208,5,40
171,125,3,67
32,327,3,85
1852,242,4,91
567,235,2,63
821,115,2,25
608,55,9,53
1075,344,9,118
1150,468,10,96
540,432,2,88
1066,390,4,11
1635,449,1,33
573,420,3,63
1890,478,5,18
1597,396,4,60
774,269,6,65
1649,74,6,81
36,78,9,19
1050,247,3,120
1216,434,1,26
1353,17,2,98
489,57,10,43
1201,175,9,64
217,175,8,86
1553,46,4,12
606,122,7,26
27,49,8,107
1710,77,9,79
828,68,9,75
286,426,5,61
1612,34,9,19
1044,90,4,19
440,174,9,14
1542,442,2,19
30,443,4,88
37,302,7,120
982,179,5,27
589,521,5,80
291,251,7,114
1176,66,7,101
542,347,3,12
96,469,5,35
218,99,10,97
570,257,7,32
1706,131,6,97
841,435,5,49
1719,368,3,49
78,429,2,54
1997,183,8,73
891,187,3,72
1402,452,4,72
1439,422,10,107
371,140,9,82
382,108,8,40
323,331,8,32
648,253,10,36
61,323,10,98
1990,226,2,31
1066,82,8,102
871,297,5,67
1548,21,7,77
487,393,10,29
1138,45,4,40
914,303,2,94
634,342,4,79
1905,503,10,59
1889,428,2,97
1622,130,6,73
555,223,5,68
729,27,1,110
1630,468,3,101
601,443,10,21
1042,186,8,29
158,204,9,24
1096,483,4,110
1617,306,6,115
494,478,2,74
1269,514,7,12
1813,285,8,111
666,204,2,17
861,410,9,106
574,194,8,50
1560,40,2,21
1797,470,1,69
408,443,8,10
1455,355,4,56
1120,27,2,118
1134,510,8,27
1150,344,7,62
138,232,9,92
1548,446,7,62
1175,9,3,42
239,327,7,38
931,369,5,32
414,460,1,14
1383,269,7,103
727,120,4,31
103,205,5,96
933,81,6,55
1155,192,10,26
897,415,9,40
486,260,3,54
1058,422,8,23
1317,376,3,110
1438,125,6,87
489,493,10,62
871,506,9,46
1276,480,5,84
447,271,8,79
940,145,7,11
84,422,6,64
1088,519,8,113
1110,119,1,50
195,319,7,112
110,512,5,14
1195,134,10,102
358,273,4,39
1006,169,6,64
1203,225,5,81
761,298,8,100
761,82,5,17
400,176,1,23
1444,37,4,46
852,332,6,114
655,105,8,79
709,49,8,90
1615,241,1,87
651,395,9,27
492,235,10,110
158,370,8,89
57,265,5,88
532,191,9,53
1631,138,9,117
1744,105,3,89
999,219,10,64
873,209,2,92
684,189,8,15
1561,214,3,101
1629,485,10,26
1201,45,9,78
227,372,2,21
1797,289,9,67
1881,131,8,71
227,407,4,99
1375,434,2,83
982,155,6,82
959,380,1,68
1949,354,5,22
1605,444,4,116
783,338,10,19
1966,154,8,42
789,64,10,51
364,327,9,69
212,160,9,57
843,19,4,105
601,167,2,23
92,484,7,69
1441,418,9,78
1788,201,4,85
1386,34,8,25
1721,256,7,107
1261,413,3,25
178,390,10,26
68,264,6,70
1708,510,5,83
1659,376,1,49
1535,244,7,27
9,80,10,48
1737,301,10,51
1682,18,6,21
1492,104,8,107
760,466,3,16
1135,294,2,37
857,355,3,70
261,218,6,18
1273,317,10,13
1133,506,3,59
1227,204,6,112
1879,379,9,87
1512,422,4,93
351,183,5,86
998,439,8,46
1308,389,5,72
670,376,1,36
693,89,7,66
864,410,8,96
1021,31,7,13
1685,129,7,16
1162,247,2,55
250,344,6,83
715,96,2,33
977,66,1,66
1664,58,7,102
994,13,6,23
1226,519,1,100
1365,169,9,66
336,212,1,63
1416,476,8,38
100,346,2,15
1396,152,3,102
941,234,3,34
540,433,8,92
844,282,10,93
1340,129,3,109
1709,494,8,38
1743,329,5,81
466,305,5,36
1427,62,5,78
995,253,9,103
1813,283,6,71
62,84,3,24
499,301,1,44
415,255,3,13
1115,355,1,11
1717,342,8,33
512,308,1,13
1579,393,5,67
476,199,4,19
1153,133,1,53
365,397,7,111
1512,200,5,15
1270,107,1,22
1822,207,2,69
14,445,9,30
1267,229,10,106
526,471,9,10
982,314,1,71
1150,403,4,26
1944,523,9,116
1125,35,4,15
518,228,8,18
1592,152,3,108
1934,88,4,102
986,417,10,52
1831,384,7,53
697,242,7,32
21,231,9,119
539,99,9,14
1016,494,6,55
974,490,6,100
1228,168,4,44
68,380,7,116
726,169,4,98
567,398,8,61
1500,386,1,81
557,438,7,23
466,327,1,35
1902,414,7,10
1060,480,4,89
530,41,7,36
1690,297,8,97
1048,8,5,107
1526,501,4,113
1677,32,7,108
890,459,4,31
1438,220,6,31
1179,512,2,98
592,144,10,36
1592,269,10,116
1532,155,3,75
1579,61,5,116
401,25,7,22
394,157,7,43
1156,417,7,41
4,468,7,97
819,279,5,115
1055,223,6,20
1356,152,2,28
1914,44,10,29
1567,458,5,77
752,373,2,22
1637,511,5,55
343,326,2,59
754,132,10,96
